date	English	Korean	Both
201101	0	0	0
201102	0	0	0
201103	0	0	0
201104	0	0	0
201105	0	0	0
201106	0	0	0
201107	3	125	8
201108	4	78	6
201109	11	113	17
201110	30	104	5
201111	24	56	5
201112	11	133	5
201201	4	26	1
201202	0	10	0
201203	0	0	0
201204	0	0	0
201205	0	1	0
201206	0	25	1
201207	1	32	3
201208	0	13	0
201209	0	20	3
201210	0	41	7
201211	2	37	3
201212	3	62	2
201301	4	67	1
201302	2	26	2
201303	0	26	3
201304	1	18	3
201305	4	63	14
201306	0	14	2
201307	0	31	2
201308	0	11	0
201309	0	1	1
201310	0	4	1
201311	1	2	2
201312	2	6	0
201401	0	8	6
201402	0	13	4
201403	1	8	3
201404	2	15	1
201405	3	8	1
201406	0	7	2
201407	0	1	0
201408	0	0	0
201409	0	0	0
201410	0	0	0
201411	0	0	0
201412	0	0	0
